U,RF
0.0051660000000000005,2.156242513249976e-18
0.005207,4.566290022206011e-19
0.005248,-4.205959599794939e-18
0.005289,-7.975895404154012e-18
0.00533,-5.331401633576633e-18
0.005371,8.678637203688554e-18
0.005412,2.6339827892462615e-17
0.005453,2.7552545257540575e-17
0.005494,-8.25005563438491e-18
0.005535,-7.740983421485245e-17
0.005576,-1.1313809878556885e-16
0.0056170000000000005,-3.8492375231936645e-17
0.005658,1.944584327716766e-16
0.005699,4.063414464287174e-16
0.00574,3.106327350056061e-16
0.005781,-3.632086308562948e-16
0.005822,-1.3056294489239426e-15
0.005863,-1.4894657166843773e-15
0.005904,1.5681017132970463e-16
0.005945,3.712012612456594e-15
0.005986,5.88916559770117e-15
0.006027,2.6886484699551417e-15
0.0060680000000000005,-8.843800940995524e-15
0.006109,-2.056361931231529e-14
0.00615,-1.763613963602023e-14
0.006191,1.4447185258493013e-14
0.006232,6.42497859364156e-14
0.006273,7.962434763433935e-14
0.006314,4.862958648311718e-15
0.006355,-1.7619937968491773e-13
0.006396,-3.0429175382192543e-13
0.006437,-1.715072863001719e-13
0.006478,3.942383333244975e-13
0.0065190000000000005,1.0338066186228693e-12
0.00656,9.815719237809809e-13
0.006601,-5.300402603045816e-13
0.006642,-3.1377663675060225e-12
0.006683,-4.215311289817866e-12
0.006724,-8.668036721010535e-13
0.006765,8.268527351037502e-12
0.006806,1.5613591942701746e-11
0.006847,1.0365203443449651e-11
0.006888,-1.713471539585062e-11
0.006929,-5.163144102758557e-11
0.0069700000000000005,-5.377630335265038e-11
0.007011,1.6658380699669383e-11
0.007052,1.5199016861917977e-10
0.007093,2.2124938451209583e-10
0.007134,7.390706716496861e-11
0.007175,-3.8278607775536547e-10
0.007216,-7.955489166180043e-10
0.007257,-6.035024745388828e-10
0.007298,7.223538339953635e-10
0.007339,2.5877117921256592e-09
0.00738,3.0258466730404455e-09
0.0074210000000000005,-1.2918468288043767e-11
0.007462,-5.680588786428992e-09
0.007503,-3.447015121084507e-09
0.007544,1.92377972225565e-08
0.007585,8.753812072776213e-08
0.007626,3.5819895584193406e-07
0.007667,1.0662122224429895e-06
0.0077080000000000004,2.4969160917749786e-06
0.007749,7.882699523002205e-06
0.00779,2.5017231943134994e-05
0.007831,6.208577499065169e-05
0.007872,0.00014531387393155041
0.007913,0.00037972653301242883
0.007954,0.0008918580811385142
0.007995,0.0018372115077710967
0.008036,0.003792171679230212
0.008077,0.007650809392374173
0.008118,0.014316751442372575
0.008159,0.02491670395674585
0.0082,0.04101751918840988
0.008241,0.06423759482590227
0.008282,0.09543540754320154
0.008323,0.1311136004074944
0.008364,0.16622560956165663
0.008405,0.19580126572587822
0.008446,0.2165282164387103
0.008487,0.2266765388308266
0.008528,0.22458837256639774
0.008569,0.2122697923804568
0.00861,0.2010220703722919
0.008651,0.2035984441576219
0.008692,0.2308523951114372
0.008733,0.279203579790093
0.008774,0.3384451453376033
0.008815,0.3984352781721489
0.008856,0.45233643512597504
0.008897,0.49729703139989845
0.008938,0.5307035780355439
0.008979000000000001,0.5518560098030435
0.00902,0.5663572897551921
0.009061,0.5811063604615445
0.009102,0.6024154314173525
0.009143,0.6305772241439642
0.009184,0.6623503745862576
0.009225,0.6944778793895149
0.009266,0.7254007826940618
0.009307,0.7561555211005025
0.009348,0.7879975693454808
0.009389,0.8217891319792661
0.009430000000000001,0.8566986364249053
0.009471,0.8914386120318466
0.009512,0.9248276470857992
0.009553,0.9571974143642937
0.009594,0.9900076546245293
0.009635,1.0247419378442078
0.009676,1.062499243431264
0.009717,1.1036294539059943
0.009758,1.1483960824428712
0.009799,1.1968923846802793
0.00984,1.2482496524950855
0.009881000000000001,1.30126167308084
0.009922,1.3546828876143062
0.009963,1.4064592641699094
0.010004,1.453774398789702
0.010045,1.4937859314688997
0.010086,1.5250999768147644
0.010127,1.5499491819711981
0.010168,1.5711245530921771
0.010209,1.5916392793589251
0.01025,1.6161696767660494
0.010291,1.6501457991677233
0.010332000000000001,1.698865652267613
0.010373,1.7632444171578472
0.010414,1.838973839147945
0.010455,1.9214401408937125
0.010496,2.0060631840098977
0.010537,2.0883721348634783
0.010578,2.1639183225214245
0.010619,2.228919762199223
0.01066,2.2863250613945874
0.010701,2.342985403903758
0.010742,2.405747236495824
0.010783000000000001,2.4785140461480304
0.010824,2.560746175351159
0.010865,2.6515352763828686
0.010906,2.749293108658242
0.010947,2.8495439239021825
0.010988,2.94704555237244
0.011029,3.0367590070711055
0.01107,3.1164914242322066
0.011111,3.186145640917612
0.011152,3.2456667424313945
0.011193,3.2942497431731588
0.011234000000000001,3.3296479928537868
0.011275,3.349451289117339
0.011316,3.3519922982338226
0.011357,3.3397379008013166
0.011398,3.3165847569966784
0.011439,3.2864803235582847
0.01148,3.254373982547167
0.011521,3.2261474253217983
0.011562,3.207713224487382
0.011603,3.2033715284415423
0.011644,3.2134452340033226
0.011685000000000001,3.2376548489279497
0.011726,3.275067972816193
0.011767,3.3199485306550955
