JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
137,1.42883,1.06735,2.52625,0.27217,0.1551,0.04205,0.00145,80.74369,20.49686,1.74489,39.79016,40.66261,2.5,101.86325
138,1.50547,1.01735,2.47568,0.39534,0.14899,0.05218,0.00141,80.86861,21.43204,1.53971,41.89859,42.66844,2.5,111.30934
139,1.16286,1.08509,2.53393,0.38557,0.16948,0.07353,0.00132,81.18096,15.24298,1.54038,29.34818,30.11837,2.5,127.34594
140,1.33244,0.99523,2.29488,0.29,0.16706,0.03869,0.00137,534.12838,1.56305,1.63597,1.49202,2.31001,2.5,110.4922
141,1.51428,0.99453,2.55542,0.38737,0.19429,0.03595,0.00138,81.36419,20.17413,1.58837,39.29787,40.09206,2.5,92.70409
142,1.46514,1.01999,2.49799,0.3165,0.14116,0.07957,0.00133,81.48229,22.12277,1.71622,43.11253,43.97064,2.5,103.55948
143,1.3762,1.06508,2.54878,0.39762,0.12512,0.04056,0.00146,81.41476,17.56276,1.47921,34.11048,34.85008,2.5,89.23886
144,1.3208,1.08732,2.52925,0.26764,0.15499,0.08452,0.00133,81.52793,18.68491,1.99448,35.85782,36.85507,2.5,102.36174
145,1.56754,0.94151,2.55306,0.38016,0.16128,0.07586,0.00149,81.07433,24.00325,1.6597,46.99308,47.82293,2.5,102.32286
146,1.27548,1.01534,2.4147,0.31794,0.11252,0.04054,0.00131,489.82702,2.56543,1.45704,3.70999,4.43851,2.5,94.20913
147,1.40862,1.06332,1.98347,0.32729,0.10906,0.08339,0.00139,363.71757,18.01423,1.52599,34.9809,35.7439,2.5,103.86074
148,1.59508,1.0971,0.90076,0.3491,0.18872,0.05398,0.00136,401.45354,7.36735,1.7433,13.16328,14.03493,2.5,92.46203
149,1.42177,0.94654,2.54448,0.28304,0.13584,0.05301,0.00135,81.28803,20.48513,1.68002,39.83566,40.67567,2.5,101.51412
150,1.45746,1.07789,2.48194,0.30984,0.18861,0.04085,0.00137,81.66538,21.01388,1.70994,40.87755,41.73252,2.5,91.04264
151,1.53255,0.9397,2.0453,0.27722,0.15993,0.05849,0.00145,727.81822,2.57675,1.84834,3.33148,4.25565,2.5,108.15073
152,1.53165,1.03496,2.55717,0.32697,0.15898,0.07885,0.00136,80.65323,23.79472,1.79917,46.42704,47.32662,2.5,90.86041
153,1.59283,0.99785,2.54934,0.33456,0.10006,0.08857,0.00147,81.97201,25.48029,1.54035,50.11791,50.88809,2.5,106.60316
154,1.58925,1.03841,2.51503,0.39389,0.14355,0.08678,0.00132,82.42319,21.3902,1.5737,41.79061,42.57745,2.5,88.78388
155,1.52744,1.00881,2.53254,0.38964,0.1698,0.06478,0.00133,81.37406,22.3433,1.61257,43.6707,44.47699,2.5,104.33534
156,1.40544,1.00257,2.51047,0.25937,0.11413,0.06584,0.00143,81.63644,20.99136,1.73744,40.80286,41.67158,2.5,93.03342
157,1.51006,0.97516,2.47109,0.36815,0.15569,0.04818,0.00136,81.43584,21.60896,1.56966,42.23358,43.01841,2.5,104.39351
158,1.58417,1.00058,2.48013,0.33987,0.16495,0.07869,0.00142,81.91898,21.4873,1.80422,41.73112,42.63323,2.5,107.33047
159,1.04076,0.9959,0.87951,0.28041,0.1574,0.06933,0.00139,320.74564,12.4641,1.68118,23.56162,24.40221,2.5,103.97307
160,1.40347,0.99014,2.49245,0.30963,0.1629,0.05314,0.00133,80.95894,20.19597,1.68837,39.23506,40.07924,2.5,106.21723
161,0.94942,1.00684,0.86334,0.38828,0.16576,0.06886,0.00139,763.90021,6.82104,1.44772,12.3618,13.08566,2.5,119.49336
162,1.41244,1.05607,2.53075,0.30611,0.10557,0.0626,0.0014,80.73287,19.35541,1.5361,37.69318,38.46123,2.5,105.65167
163,1.07612,0.99277,1.05048,0.3737,0.14417,0.07722,0.00133,567.88159,1.08751,1.46071,0.70701,1.43737,2.5,104.97836
164,1.47244,0.94988,2.46686,0.26776,0.19264,0.04355,0.00143,81.43992,21.79546,1.82184,42.35575,43.26667,2.5,106.13222
165,1.11721,1.05097,2.15755,0.29743,0.13595,0.05811,0.00145,239.66747,12.28311,1.57567,23.3038,24.09164,2.5,105.68909
166,1.58931,1.03094,2.47087,0.28377,0.19987,0.04569,0.0014,82.53333,19.85538,1.87052,38.36603,39.30129,2.5,106.45571
