U,RF
0.010485999999999999,1.5031212905467612
0.010584,1.519817982641195
0.010682,1.5364720458234273
0.01078,1.5530835331808255
0.010877999999999999,1.5696524978007556
0.010976,1.5861789927705854
0.011074,1.6026630711776828
0.011172,1.6191047861094139
0.011269999999999999,1.635504190653146
0.011368,1.651861337896247
0.011466,1.668176280926083
0.011564,1.6844490728300225
0.011661999999999999,1.7006797666954314
0.01176,1.7168684156096774
0.011858,1.7330150726601279
0.011956,1.749119790934149
0.012053999999999999,1.7651826235191093
0.012152,1.7812036235023745
0.01225,1.797182843971313
0.012348,1.8131203380132914
0.012445999999999999,1.829016158715677
0.012544,1.844870359165837
0.012642,1.860682992451138
0.01274,1.876454111658948
0.012837999999999999,1.8921837698766335
0.012936,1.9078720201915618
0.013034,1.9235189156911006
0.013132,1.939124509462616
0.013229999999999999,1.9546888545934757
0.013328,1.9702120041710478
0.013426,1.9856940112826973
0.013524,2.0011349290157936
0.013621999999999999,2.0165348104577028
0.01372,2.031893708695791
0.013818,2.0472116768174278
0.013916,2.0624887679099793
0.014013999999999999,2.077725035060811
0.014112,2.092920531357292
0.01421,2.1080753098867895
0.014308,2.1231894237366697
0.014405999999999999,2.138262925994299
0.014504,2.1532958697470477
0.014602,2.1682883080822792
0.0147,2.183240294087364
0.014797999999999999,2.1981518808496663
0.014896,2.2130231214565548
0.014994,2.227854068995396
0.015092,2.2426447765535586
0.015189999999999999,2.257395297218408
0.015288,2.272105684077312
0.015386,2.286775990217638
0.015484,2.301406268726753
0.015581999999999999,2.3159965726920237
0.01568,2.330546955200818
0.015778,2.345057469340502
0.015876,2.3595281681984446
0.015974,2.373959104862011
0.016072,2.38835033241857
0.01617,2.4027019039554878
0.016267999999999998,2.4170138725601307
0.016366,2.431286291319868
0.016464,2.445519213322066
0.016562,2.45971269165409
0.01666,2.47386677940331
0.016758,2.487981529657092
0.016856,2.5020569955028034
0.016954,2.51609323002781
0.017051999999999998,2.5300902863194805
0.01715,2.544048217465181
0.017248,2.5579670765522797
0.017346,2.571846916668144
0.017444,2.5856877909001392
0.017542,2.599489752335634
0.01764,2.6132528540619955
0.017738,2.6269771491665903
0.017835999999999998,2.640662690736785
0.017934,2.6543095318599477
0.018032,2.667917725623446
0.01813,2.681487325114646
0.018228,2.6950183834209147
0.018326,2.708510953629621
0.018424,2.7219650888281297
0.018522,2.735380842103809
0.018619999999999998,2.7487582665440273
0.018718,2.76209741523615
0.018816,2.775398341267545
0.018914,2.78866109772558
0.019012,2.8018857376976207
0.01911,2.8150723142710348
0.019208,2.8282208805331903
0.019306,2.841331489571454
0.019403999999999998,2.854404194473192
0.019502,2.867439048325773
0.0196,2.880436104216563
0.019698,2.893395415232929
0.019796,2.906317034462239
0.019894,2.9192010149918604
0.019992,2.932047409909159
0.02009,2.9448562723015046
0.020187999999999998,2.9576276552562604
0.020286,2.970361611860797
0.020384,2.9830581952024797
0.020482,2.9957174583686763
0.02058,3.0083394544467543
0.020678,3.0209242365240803
0.020776,3.0334718576880206
0.020874,3.0459823710259446
0.020971999999999998,3.058455829625218
0.02107,3.0708922865732076
0.021168,3.0832917949572813
0.021266,3.0956544078648056
0.021364,3.1079801783831487
0.021462,3.120269159599677
0.02156,3.132521404601758
0.021658,3.144736966476759
0.021755999999999998,3.1569158983120458
0.021854,3.1690582531949874
0.021952,3.1811640842129494
0.02205,3.1932334444533
0.022148,3.205266387003407
0.022246,3.2172629649506357
0.022344,3.2292232313823535
0.022442,3.2411472393859295
0.022539999999999998,3.2530350420487286
0.022638,3.26488669245812
0.022736,3.276702243701468
0.022834,3.2884817488661424
0.022932,3.30022526103951
0.02303,3.311932833308938
0.023128,3.3236045187617913
0.023226,3.3352403704854403
0.023323999999999998,3.346840441567249
0.023422,3.3584047850945877
0.02352,3.369933454154821
