RF,U
1.2732746037023326,0.011616
1.276572644275238,0.011640000000000001
1.2798690321197508,0.011664
1.283163767636019,0.011688
1.2864568512241918,0.011712
1.2897482832844185,0.011736
1.2930380642168473,0.01176
1.2963261944216276,0.011784000000000001
1.2996126742989083,0.011808
1.302897504248838,0.011832
1.3061806846715662,0.011856
1.3094622159672413,0.01188
1.3127420985360125,0.011904
1.3160203327780287,0.011928000000000001
1.3192969190934387,0.011952
1.3225718578823915,0.011976
1.325845149545036,0.012
1.3291167944815212,0.012024
1.332386793091996,0.012048
1.335655145776609,0.012072000000000001
1.3389218529355098,0.012096
1.3421869149688468,0.01212
1.345450332276769,0.012144
1.3487121052594255,0.012168
1.351972234316965,0.012192
1.3552307198495366,0.012216000000000001
1.3584875622572894,0.012240000000000001
1.3617427619403717,0.012264
1.364996319298933,0.012288
1.368248234733122,0.012312
1.3714985086430878,0.012336
1.3747471414289787,0.01236
1.3779941334909445,0.012384000000000001
1.3812394852291336,0.012408
1.3844831970436953,0.012432
1.3877252693347781,0.012456
1.390965702502531,0.01248
1.394204496947103,0.012504
1.3974416530686435,0.012528000000000001
1.4006771712673005,0.012552
1.4039110519432236,0.012576
1.4071432954965615,0.0126
1.410373902327463,0.012624
1.4136028728360774,0.012648
1.4168302074225534,0.012672000000000001
1.4200559064870397,0.012696
1.4232799704296857,0.01272
1.4265023996506399,0.012744
1.4297231945500515,0.012768
1.4329423555280694,0.012792
1.436159882984842,0.012816000000000001
1.4393757773205191,0.01284
1.442590038935249,0.012864
1.445802668229181,0.012888
1.4490136656024635,0.012912
1.452223031455246,0.012936
1.4554307661876773,0.012960000000000001
1.4586368701999062,0.012984
1.4618413438920814,0.013008
1.465044187664352,0.013032
1.4682454019168674,0.013056
1.4714449870497759,0.01308
1.4746429434632264,0.013104000000000001
1.4778392715573683,0.013128
1.4810339717323504,0.013152
1.4842270443883214,0.013176
1.4874184899254301,0.0132
1.4906083087438258,0.013224
1.4937965012436576,0.013248000000000001
1.4969830678250735,0.013272
1.5001680088882237,0.013296
1.503351324833256,0.01332
1.50653301606032,0.013344
1.509713082969564,0.013368
1.5128915259611377,0.013392000000000001
1.5160683454351893,0.013416
1.5192435417918688,0.01344
1.5224171154313233,0.013464
1.5255890667537038,0.013488
1.5287593961591577,0.013512
1.5319281040478347,0.013536000000000001
1.5350951908198833,0.013560000000000001
1.538260656875453,0.013584
1.541424502614692,0.013608
1.5445867284377497,0.013632
1.547747334744775,0.013656
1.5509063219359163,0.013680000000000001
1.5540636904113232,0.013704000000000001
1.5572194405711446,0.013728
1.5603735728155288,0.013752
1.5635260875446255,0.013776
1.5666769851585827,0.0138
1.5698262660575504,0.013824
1.5729739306416766,0.013848000000000001
1.576119979311111,0.013872
1.5792644124660018,0.013896
1.582407230506498,0.01392
1.5855484338327492,0.013944
1.5886880228449038,0.013968
1.591825997943111,0.013992000000000001
1.5949623595275193,0.014016
1.5980971079982778,0.01404
1.6012302437555357,0.014064
1.604361767199442,0.014088
1.6074916787301452,0.014112
1.610619978747794,0.014136000000000001
1.6137466676525378,0.01416
1.6168717458445256,0.014184
1.6199952137239062,0.014208
1.6231170716908283,0.014232
1.6262373201454412,0.014256
1.6293559594878932,0.014280000000000001
1.6324729901183341,0.014304
1.6355884124369122,0.014328
1.6387022268437763,0.014352
1.641814433739076,0.014376
1.64492503352296,0.0144
1.6480340265955766,0.014424000000000001
1.6511414133570754,0.014448
1.6542471942076051,0.014472
1.6573513695473145,0.014496
1.660453939776353,0.01452
1.663554905294869,0.014544
1.6666542665030117,0.014568000000000001
1.6697520238009298,0.014592
1.6728481775887725,0.014616
1.675942728266688,0.01464
1.6790356762348264,0.014664
1.6821270218933357,0.014688
1.6852167656423658,0.014712000000000001
1.6883049078820644,0.014736
1.6913914490125814,0.01476
1.694476389434065,0.014784
1.6975597295466647,0.014808
1.700641469750529,0.014832
1.7037216104458068,0.014856000000000001
1.706800152032647,0.01488
1.7098770949111997,0.014904
1.7129524394816122,0.014928
1.716026186144034,0.014952
1.7190983352986142,0.014976
1.722168887345502,0.015000000000000001
1.725237842684846,0.015024000000000001
1.7283052017167948,0.015048
1.7313709648414977,0.015072
1.7344351324591034,0.015096
1.7374977049697613,0.01512
1.7405586827736197,0.015144000000000001
1.7436180662708278,0.015168000000000001
1.7466758558615345,0.015192
1.749732051945889,0.015216
1.7527866549240396,0.01524
1.755839665196136,0.015264
1.7588910831623268,0.015288000000000001
1.7619409092227605,0.015312000000000001
1.7649891437775864,0.015336
1.7680357872269539,0.01536
1.7710808399710112,0.015384
1.7741243024099072,0.015408
1.7771661749437915,0.015432
1.7802064579728125,0.015456000000000001
1.7832451518971186,0.01548
1.78628225711686,0.015504
1.7893177740321848,0.015528
1.792351703043242,0.015552
1.795384044550181,0.015576
1.7984147989531498,0.015600000000000001
1.8014439666522983,0.015624
1.8044715480477749,0.015648
1.8074975435397287,0.015672000000000002
1.8105219535283086,0.015696
1.8135447784136633,0.01572
1.8165660185959418,0.015744
1.8195856744752932,0.015768
1.8226037464518663,0.015792
1.8256202349258104,0.015816
1.8286351402972738,0.01584
1.8316484629664054,0.015864
1.8346602033333548,0.015888
1.8376703617982708,0.015912
1.8406789387613018,0.015936
1.8436859346225971,0.015960000000000002
1.8466913497823054,0.015984
1.849695184640576,0.016008
1.8526974395975573,0.016032
1.8556981150533984,0.016056
