JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
140,1.50422,0.90407,1.95627,0.36477,0.12337,0.05022,0.00132,796.84078,18.97032,3.82389,23.82502,25.73697,2.5,125.61231
141,1.55405,1.00866,1.67579,0.31469,0.16283,0.04706,0.00148,796.63455,18.44951,3.91457,23.10789,25.06517,2.5,107.30565
142,1.55216,0.91471,1.82095,0.29084,0.1639,0.04926,0.00145,796.71087,18.29723,3.92517,22.90267,24.86526,2.5,129.87138
143,1.52715,0.95787,1.93472,0.38586,0.14379,0.07934,0.00134,796.66848,18.77621,3.84638,23.56024,25.48343,2.5,105.17934
144,1.35721,1.05446,1.78387,0.37096,0.10972,0.05469,0.00144,796.7167,19.05128,3.82001,23.93182,25.84182,2.5,130.98586
145,1.31575,1.02054,1.80004,0.25739,0.18803,0.04167,0.00133,796.68377,18.38227,3.89235,23.02633,24.9725,2.5,105.38013
146,1.57812,0.94927,1.83234,0.2975,0.17469,0.06003,0.00141,796.72638,18.08699,3.95144,22.61639,24.5921,2.5,127.65015
147,1.46166,1.02694,1.75525,0.34047,0.18849,0.06997,0.00137,796.78525,18.25715,3.91526,22.85355,24.81119,2.5,105.28701
148,1.53415,0.98559,1.84481,0.25564,0.13656,0.04847,0.00149,796.58191,18.13728,3.9355,22.68895,24.6567,2.5,125.80684
149,1.56401,0.98445,1.78182,0.36428,0.11026,0.06308,0.00143,796.67846,18.9668,3.84729,23.81221,25.73586,2.5,107.1653
150,1.49564,0.93965,1.88041,0.2663,0.1206,0.05968,0.00133,796.78586,18.23336,3.87988,22.83438,24.77432,2.5,146.47357
151,1.54372,1.06242,1.73241,0.29596,0.1369,0.03012,0.00149,796.58433,18.69454,3.88591,23.44041,25.38337,2.5,113.96797
152,1.50907,1.0723,1.75873,0.37186,0.17252,0.08332,0.00139,796.54611,18.38001,3.89993,23.02066,24.97062,2.5,129.97074
153,1.28719,1.0247,1.88478,0.38344,0.19724,0.05712,0.00136,796.6744,18.69494,3.84461,23.45466,25.37697,2.5,111.74779
154,1.43149,1.05075,1.62309,0.32523,0.17296,0.07894,0.00134,796.72732,18.1355,3.91419,22.69222,24.64931,2.5,130.33664
155,1.5205,1.06578,1.73317,0.37545,0.14672,0.03167,0.00149,796.85252,18.92486,3.86291,23.75186,25.68331,2.5,117.3145
156,1.57017,0.93038,1.89613,0.25636,0.14183,0.06866,0.00134,796.80802,17.64885,3.96107,22.03441,24.01495,2.5,131.70141
157,1.40502,0.97917,1.73583,0.29324,0.16852,0.06469,0.00138,796.78973,18.15349,3.9164,22.71647,24.67467,2.5,130.54489
158,1.52592,0.95326,1.73316,0.39038,0.16156,0.03672,0.00137,796.3995,18.9094,3.84398,23.73684,25.65883,2.5,111.7006
159,1.45923,0.96369,1.76156,0.30194,0.13324,0.03171,0.00138,796.61202,18.7952,3.84452,23.5859,25.50816,2.5,133.08099
160,1.46726,0.99083,1.78449,0.29819,0.16103,0.04223,0.00149,796.79314,18.49403,3.89951,23.17133,25.12109,2.5,124.98997
161,1.51058,0.92432,1.72792,0.26131,0.17536,0.05672,0.0014,796.83716,17.95524,3.96449,22.43844,24.42069,2.5,109.42601
162,1.4099,1.00894,1.83613,0.39841,0.1875,0.03439,0.00148,796.67472,18.8824,3.85281,23.69837,25.62477,2.5,126.45604
