RF,U
-4.499961252616656e-26,0.002832
-5.078544974574977e-26,0.002856
-3.1387813080228656e-26,0.00288
2.4295496460288308e-26,0.002904
1.0650535230656242e-25,0.002928
1.7478068292162877e-25,0.002952
1.8620145138770248e-25,0.002976
9.784762078699895e-26,0.003
-1.2927534188468212e-25,0.003024
-4.384181351124357e-25,0.003048
-6.739539499108967e-25,0.003072
-6.757035350060377e-25,0.0030960000000000002
-2.8348763912384867e-25,0.00312
6.323975381046833e-25,0.003144
1.7839611561136077e-24,0.0031680000000000002
2.5802015900418944e-24,0.003192
2.4233219030369686e-24,0.003216
7.155251582461964e-25,0.0032400000000000003
-2.9361626349428948e-24,0.003264
-7.185170830839948e-24,0.003288
-9.807225002270462e-24,0.0033120000000000003
-8.571316653098081e-24,0.003336
-1.2464372871863391e-24,0.00336
1.3148653900943992e-23,0.0033840000000000003
2.867304343551468e-23,0.003408
3.7002696675574865e-23,0.003432
2.9811376573431444e-23,0.003456
-1.2270234011677884e-24,0.00348
-5.732421805012014e-23,0.003504
-1.13453655983803e-22,0.003528
-1.38541397507583e-22,0.003552
-1.0151350292682295e-22,0.003576
2.859987839749547e-23,0.0036
2.447388532342549e-22,0.003624
4.453587228121732e-22,0.003648
5.144899654003996e-22,0.003672
3.3616305926808696e-22,0.003696
-2.0320011844505551e-22,0.00372
-1.027278970078674e-21,0.003744
-1.735072552070194e-21,0.003768
-1.8937767171908323e-21,0.0037920000000000002
-1.0705873182118486e-21,0.003816
1.1398448696974646e-21,0.00384
4.251053714323584e-21,0.0038640000000000002
6.7104633399368825e-21,0.003888
6.902835478872443e-21,0.003912
3.2129318634650655e-21,0.003936
-5.742888137092833e-21,0.00396
-1.737772548532826e-20,0.003984
-2.5767256850111508e-20,0.004008
-2.4883383199538115e-20,0.004032
-8.698005501704762e-21,0.004056
2.717708249237263e-20,0.00408
7.027785623268643e-20,0.004104
9.823348372599174e-20,0.004128
8.854644296623516e-20,0.004152
1.871921194736449e-20,0.004176
-1.2337201556537154e-19,0.0042
-2.8150050608383045e-19,0.004224
-3.717813390180877e-19,0.004248
-3.102515841464141e-19,0.004272
-1.2948311247058014e-20,0.004296
5.434515266219334e-19,0.00432
1.1177202232655983e-18,0.004344
1.3965051149249985e-18,0.004368
1.0664519370355542e-18,0.004392
-1.8549929962237364e-19,0.004416
-2.339244543702385e-18,0.00444
-4.4019163310250235e-18,0.004464
-5.204060533553905e-18,0.004488
-3.576223023252468e-18,0.004512
1.6381564067077083e-18,0.004536
9.88487084636619e-18,0.00456
1.7202899438358698e-17,0.004584
1.9227779935103312e-17,0.004608
1.1595050089019157e-17,0.004632
-9.877060953136686e-18,0.004656
-4.1137128577379565e-17,0.00468
-6.673388004592861e-17,0.004704
-7.037892049649481e-17,0.004728
-3.578385506678894e-17,0.004752
5.162849459760081e-17,0.004776
1.68988550554197e-16,0.0048000000000000004
2.570119644094838e-16,0.004824
2.549096189618217e-16,0.004848
1.0189239700955781e-16,0.0048720000000000005
-2.4992700798908237e-16,0.004896
-6.863897220490596e-16,0.00492
-9.8276261066405e-16,0.0049440000000000005
-9.121788358308723e-16,0.004968
-2.4777155954638427e-16,0.004992
1.152251483444626e-15,0.0050160000000000005
2.7600276148200013e-15,0.00504
3.730766150248713e-15,0.005064
3.2177843310603427e-15,0.0050880000000000005
3.743993985845414e-16,0.005112
-5.1338355732402854e-15,0.005136
-1.0997790390468199e-14,0.0051600000000000005
-1.4058004666393628e-14,0.005184
-1.1154613873165193e-14,0.005208
8.719289914064307e-16,0.0052320000000000005
2.2294857087225463e-14,0.005256
4.345579990929023e-14,0.00528
5.256185361261857e-14,0.0053040000000000006
3.7820114352227254e-14,0.005328
-1.2503178518056912e-14,0.005352
-9.489121939175449e-14,0.005376000000000001
-1.7036159859070757e-13,0.0054
-1.9490183670987539e-13,0.005424
-1.244994543442146e-13,0.005448
8.371772620165129e-14,0.005472
3.972984385130084e-13,0.005496
6.628862719155051e-13,0.00552
7.162232661132362e-13,0.005544
3.930514608102928e-13,0.005568
