JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
30,1.5779004974993271,1.0151729832116747,2.4309456160585903,0.2890065346765115,0.15836390892160415,0.04895330470542865,0.0013684760242138048,599.3911789433588,5.346710488213777,1.767261587653606,9.033879628147256,9.91751042197406,2.5,195.8672480583191
31,1.5112537206491448,1.0152119096029244,2.505236571449341,0.31147806124327165,0.18032495249496536,0.044877304005061396,0.0014225084131273408,1.6657502976208605,24.805628096531485,1.7398108862049506,48.53599787542207,49.405903318524544,2.5,185.22810220718384
32,1.378565271943518,0.9898619363033514,1.3548152198730887,0.30490542787249747,0.15420754477748466,0.03841525410160664,0.0013912044779764423,380.2299725531655,7.965168767279902,1.604667911792201,14.513806869271127,15.316140825167228,2.5,186.32679438591003
33,1.1335828575233398,0.9100518283473412,1.3607683358051528,0.33945589167047246,0.15570900145054634,0.08440899959041356,0.001391676647889304,689.4329639909993,3.0154784423191536,1.5833333408041796,4.493907277039518,5.285573947441607,2.5,187.69657230377197
34,1.5213737372744125,1.0003343320876847,1.942308074001628,0.3857774937251901,0.14698090373627043,0.08075941202726594,0.0014742702416596716,0.07062161713911053,16.607877581499746,1.6005526829771342,32.05137271274763,32.8516490542362,2.5,192.90733432769775
35,1.5129346844919311,0.951629715193059,2.2220047690152738,0.31650712657960556,0.1877047735716013,0.07352891819410909,0.0014887343909937645,0.06656018159789667,22.429463229732182,1.9251882545169174,43.52183116330261,44.48442529056106,2.5,192.65763235092163
36,0.9370986660723596,0.9504472872268162,2.3963945651669567,0.3144826227612362,0.1694161924475624,0.08949048448453942,0.0013568009415695366,307.06209864413205,9.01297473023755,1.632267221034692,16.610843423185873,17.42697703370322,2.5,187.76466464996338
37,1.3224830272608818,1.0482209817989272,1.9262772487516875,0.33379120477586943,0.10985249427600154,0.04231631631674804,0.0014915975871418069,0.037648381970267764,23.636414023260834,1.488177387623587,46.426552736730194,47.17064143054199,2.5,185.10593056678772
38,1.1219013847984245,0.9903687684852409,2.3953861113574417,0.3164975511238354,0.17957162935927343,0.06907042652853498,0.0014383080244958944,0.035097075002887834,19.817326645916957,1.6886029940455898,38.471396799791144,39.31569829681394,2.5,165.24972677230835
39,0.9085746206071152,0.9135714730674257,2.0543334901529775,0.37706893407899356,0.180172873162315,0.06442413082527498,0.001330527617203864,195.68483307599882,10.667681358360765,1.469402620435466,20.135373358976317,20.87007466919405,2.5,96.94558882713318
